locale|uk_UA

DIALOG_PIRATE_BUSINESS_SHIP_K44|У мене є один з тих невдалих прототипів K44. Виявляється, вони дійсно існують, а не просто міф. Транспондер все ще має деяку потужність, але це повна руїна. Ви можете забрати його за 250 тисяч.

DIALOG_PIRATE_BUSINESS_SHIP_COTHON_217|У мене є експериментальний Котон на зберіганні. Оброблений трюм зменшений, але не має секційних обмежень звичайних трюмів. Ви можете взяти його за 200 тисяч.

DIALOG_PIRATE_BUSINESS_SHIP_PROSPECTOR_PEACOCK|У мене є розкішний Prospector у хорошому місці. Шкіряні сидіння і все таке, мені майже шкода його віддавати, але що поробиш. Він ваш за 300 тисяч.

DIALOG_PIRATE_BUSINESS_SHIP_KTA24|У нас тут буксир КТА. Схоже, з нього може вийти гарне судно для наших операцій, але передні рушії не дуже. Поставити на нього нормальне обладнання, і він міг би бути чудовим. Віддам за 200 тисяч.

DIALOG_PIRATE_BUSINESS_SHIP_KX37|Знайшов розширену модель K37 після того, як хтось її перенавантажив. Достатньо хороша, щоб взяти, але я б не сказав, що вона придатна до польоту. 200 тисяч за цю махину.

DIALOG_PIRATE_BUSINESS_SHIP_KR37|У нас тут є дослідницький K37. Трохи замалий для наших потреб, всі можливості K37, за винятком розміру. Є клітка Фарадея і все інше. Візьмемо 200 тисяч за цю штуку.

DIALOG_PIRATE_BUSINESS_SHIP_KITSUNE|Один з демілітаризованих Kitsune потрапив до нас, і у нас був ще один, що валявся без діла. Не бачили сенсу його використовувати, тож можемо запропонувати його вам. 200 тисяч рівно за нього.

DIALOG_PIRATE_BUSINESS_SHIP_COTHON_213|У мене тут є старий Котон, але в цього є цікавий козир в рукаві. Три двигуни замість одного, потужний, але клітка Фарадея втрачена. Продаю за 200 тисяч.

DIALOG_PIRATE_BUSINESS_SHIP_COTHON_211|У нас тут є чудовий Котон. Екскаватор більший за стандартні моделі і трохи зміщений від центру. Пошкодження тут і там, але все ще в одному шматку. Я віддам його вам за 200 000 E$

DIALOG_PIRATE_BUSINESS_SHIP_PROSPECTOR_BALD|Дістали Bald Eagle з усіх речей. Власник програв гонку Котону з усіх кораблів і покинув його від сорому. Все ще чудова робота, з вм'ятинами чи без. 600 тисяч і птах ваш для збору.

DIALOG_PIRATE_BUSINESS_SHIP_PROSPECTOR_PELICAN|У нас є великий Prospector. Його відсік величезний для того, чим він є, і його маса, ймовірно, і стала причиною проблем. Я не можу сказати вам, чи придатний він до польоту в такому стані. 250 тисяч за нього, і я сподіваюся, ви заберете його.

DIALOG_PIRATE_BUSINESS_SHIP_PROSPECTOR_VULTURE|У мене тут завалявся гібрид Prospector-K37. Добре мати його з його обладнанням, але літати на ньому дуже незручно. Ми хочемо його позбутися і віддамо вам координати за 200 тисяч.

DIALOG_PIRATE_BUSINESS_SHIP_OCP|Дехто з будівельної бригади Обонто Сім залишив один із своїх кораблів незамкненим під час інспекційної перерви. Якимось чином вдалося забрати його так, що вони не помітили, поки не стало надто пізно. Він занадто незграбний, як на наш смак, тож ви можете глянути на нього за 300 тисяч.

DIALOG_PIRATE_BUSINESS_SHIP_TITAN|Маємо покинутий Titan з усім причандаллям, вантажними відсіками і всім іншим. Величезна штука, але є пошкодження обода і задньої частини. Можемо віддати його вам за півмільйона.

DIALOG_PIRATE_BUSINESS_SHIP_TITAN_BB|Маємо один з тих порожніх Titan під рукою. Звір-корабель з вантажним відсіком ще більшого звіра, хоча йому бракує деяких відсіків. Пропонуємо півмільйона за нього.

DIALOG_PIRATE_BUSINESS_SHIP_TITAN_M|Приятель виявив цю дуже дивну модифікацію Titan. Усі стикувальні відсіки замінили на кріплення для факелів, і схоже, що встановили дослідницький пакет. Є клітка Фарадея і все таке. Схоже, ми були не першими там, бо шлюз був зламаний. Ви можете взяти його для ремонту за мільйон.

DIALOG_PIRATE_BUSINESS_SHIP_EIME|Знайшли покинутий EIME недалеко звідси. Дивна знахідка для нас, принаймні, оскільки ці кораблі міцні як цвяхи, коли ми намагаємося з ними взаємодіяти. Це повна руїна, але ви можете отримати його за 750 тисяч.

DIALOG_PIRATE_BUSINESS_SHIP_K37_I|У мене є K37 у пристойному стані, все ще з транспондерами. Трохи дірок у реакторі і деякі плями, але нічого, що хороший механік не зможе виправити. Я можу продати його вам за 200 тисяч.

DIALOG_PIRATE_BUSINESS_SHIP_PROSPECTOR_I|У нас є Prospector на продаж. На станції легально значиться як безхазяйний після інциденту під час видобутку. Не на ходу. 200 тисяч.

DIALOG_PIRATE_BUSINESS_SHIP_COTHON_I|Дістався мені ранній Котон, у доволі хорошому стані. Числиться як зниклий, транспондер цілий. Хіба що реактор трохи протікає. Продам за 200 тисяч.

DIALOG_PIRATE_BUSINESS_ORE_I|Ми маємо трохи руди на продаж. Висока якість, оброблена, просто чекає в кільцях у гарній, акуратній тарі. Потрібно просто взяти з собою люльку і забрати її. 100 тисяч і вона ваша.

DIALOG_PIRATE_BUSINESS_ORE_II|Ми маємо трохи руди на продаж. Висока якість, оброблена, просто чекає в кільцях у гарній, акуратній тарі. Потрібно просто взяти з собою люльку і забрати її. 100 тисяч і вона ваша.

