locale|en

DIALOG_PIRATE_BUSINESS_SHIP_K44|I have one of those failed K44 prototype thingies. Turns out they do actually exist and not just a myth. The transponder still has some power, but it's a total wreck. You can take it off of my hands for 250 grand.

DIALOG_PIRATE_BUSINESS_SHIP_COTHON_217|I have an experimental Cothon stored away. The processed hold is reduced, but doesn't have the sectioned constraints of normal holds. You can take it for 200 grand.

DIALOG_PIRATE_BUSINESS_SHIP_PROSPECTOR_PEACOCK|I've got a luxury Prospector in a good spot. Leather seats and everything, I almost feel bad about giving it up but whatever. It's yours for 300 grand.

DIALOG_PIRATE_BUSINESS_SHIP_KTA24|Got a KTA tug out about. Looks like it could make a good vessel for our operations, but the front thrusters are funky. Fit some proper gear to it and it could be great. Take it for 200 grand.

DIALOG_PIRATE_BUSINESS_SHIP_KX37|Found an extended K37 model after some guy had overstressed it. Good enough nick to take, but I wouldn't say it's flightworthy. 200 grand for the hunk.

DIALOG_PIRATE_BUSINESS_SHIP_KR37|We've got a research K37 around here. Bit small for our liking, but has all the inns and outs of a K37, minus the size of everything. Comes fitted with a Faraday cage and everything too. We'll take 200 grand for the piece.

DIALOG_PIRATE_BUSINESS_SHIP_KITSUNE|One of the demilitarized Kitsunes landed our way, and we've had one lying around. Didn't really see much point in using one, so may as well make an offer to you for it. We're offering 200 grand flat for it.

DIALOG_PIRATE_BUSINESS_SHIP_COTHON_213|I've got an old Cothon here, except this one's got a neat thing up it's sleeve. Three engines instead of one, packs a punch but it's Faraday cage is lost. Selling it at 200k.

DIALOG_PIRATE_BUSINESS_SHIP_COTHON_211|We've got a belter Cothon here. Excavator's larger than standard models, and is a little offset from te center. Damage is here and there, but it's still in one piece. I'll let you take it for 200 000 E$

DIALOG_PIRATE_BUSINESS_SHIP_PROSPECTOR_BALD|Got our hands on a Bald Eagle of all things. Owner lost a race to a Cothon, and abandoned it in shame. Still a lovely piece of work dented or not. 3 mega and the bird is yours to collect.

